epochs,train_loss,test_loss,train_acc,test_acc
1,2.304950787470891,2.30424165725708,0.1262166405023548,0.12836970474967907
2,2.3041795767270603,2.300214111804962,0.12339089481946625,0.11296534017971759
3,2.303794475702139,2.306238830089569,0.10675039246467818,0.10397946084724005
4,2.303184307538546,2.3020012378692627,0.10455259026687598,0.10783055198973042
5,2.302519541520339,2.307018458843231,0.10800627943485086,0.11810012836970475
6,2.3013774248269887,2.303687870502472,0.13626373626373625,0.14762516046213095
7,2.301445850959191,2.301486313343048,0.12653061224489795,0.13093709884467267
8,2.3007426812098575,2.302704632282257,0.1554160125588697,0.15917843388960207
9,2.300374141106239,2.298257291316986,0.13312401883830455,0.13093709884467267
10,2.29942510678218,2.2961856722831726,0.17142857142857143,0.1951219512195122
11,2.2985017666449914,2.301245391368866,0.19277864992150706,0.20025673940949937
12,2.2987293830284705,2.2990511655807495,0.19372056514913658,0.20154043645699615
13,2.2981654680692234,2.299104630947113,0.1978021978021978,0.20154043645699615
14,2.2973792552948,2.2991892099380493,0.1987441130298273,0.20154043645699615
15,2.2971700521615834,2.29099041223526,0.19843014128728415,0.20154043645699615
16,2.295899281134972,2.3007652163505554,0.20031397174254317,0.20154043645699615
17,2.2953283970172587,2.2880844473838806,0.2,0.20154043645699615
18,2.294798209117009,2.293830096721649,0.2,0.20154043645699615
19,2.2939864488748403,2.2978445887565613,0.2,0.20154043645699615
20,2.2930976427518406,2.293260931968689,0.19968602825745682,0.20025673940949937
21,2.291975039702195,2.2919525504112244,0.20031397174254317,0.20282413350449294
22,2.290976102535541,2.2872674465179443,0.2,0.20282413350449294
23,2.289859184852013,2.2859381437301636,0.20031397174254317,0.20282413350449294
24,2.288600133015559,2.2855589389801025,0.19748822605965463,0.1951219512195122
25,2.287803209744967,2.2902005314826965,0.19717425431711147,0.20025673940949937
26,2.2861829721010647,2.2866731882095337,0.19937205651491366,0.20025673940949937
27,2.2844351071577806,2.285525619983673,0.19968602825745682,0.20025673940949937
28,2.28293384038485,2.279495656490326,0.2,0.20282413350449294
29,2.281225222807664,2.2825894951820374,0.19686028257456828,0.19383825417201542
30,2.2789021088526797,2.2762112617492676,0.19686028257456828,0.20282413350449294
31,2.276873515202449,2.2697080969810486,0.20031397174254317,0.20154043645699615
32,2.2746071998889628,2.2752366065979004,0.1990580847723705,0.20154043645699615
33,2.2724031118246226,2.271133005619049,0.20156985871271585,0.20667522464698332
34,2.269696455735427,2.2616854310035706,0.19968602825745682,0.20154043645699615
35,2.2670341455019436,2.268365442752838,0.19843014128728415,0.20154043645699615
36,2.264145007500282,2.269782841205597,0.19748822605965463,0.19897304236200256
37,2.260898443368765,2.2565484046936035,0.20156985871271585,0.2079589216944801
38,2.257240185370812,2.2622323036193848,0.20408163265306123,0.2079589216944801
39,2.2535631289848914,2.2511411905288696,0.20156985871271585,0.20410783055198972
40,2.249771943459144,2.2333521842956543,0.20408163265306123,0.21309370988446727
